timestamp_ms,altitude_m,apogee_m,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_r,quat_x,quat_y,quat_z,gps_lat,gps_lon,gps_satellites,gps_fix_type,gps_pos_acc_cm,gps_vel_acc_cm,gps_pdop,gps_itow,data_time_ms,data_altitude_m,baro_pressure_pa,baro_temp_c,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,highg_accel_x,highg_accel_y,highg_accel_z,mag_x,mag_y,mag_z
1781645587688,0.7698302760119304,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,128900,142414,857.8706626726164,91431.84362094951,33.19335876964033,-26352,67344,-956480,43750,1995000,2222500,0,780000,1560000,-3757,3360,-3516
1781645588203,1.189264147164863,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,129400,142914,858.4528609379246,91425.4055326055,33.20218726247549,11712,62464,-946720,-3071250,192500,-1356250,0,780000,1560000,-3759,3360,-3540
1781645588693,0.9450522985085854,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,130000,143414,860.1528215307733,91406.60905951266,33.2110157366842,-19520,68320,-928176,1837500,-1128750,-892500,0,780000,1560000,-3774,3351,-3527
1781645589200,1.154803338549982,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,130400,143914,859.4546403573927,91414.3284738397,33.228672629222274,-8784,66368,-953552,-848750,-2511250,4016250,0,0,1560000,-3772,3353,-3552
1781645589687,0.8292069984512409,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,130800,144414,859.2918448022153,91416.12849273071,33.23750104755163,-30256,66368,-966240,4961250,3351250,-1356250,0,780000,1560000,-3749,3382,-3492
1781645590201,1.038984971740092,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,131200,144914,857.6388466736882,91434.40720011633,33.24632944725454,-9760,57584,-946720,1391250,183750,3552500,0,780000,1560000,-3774,3370,-3546
1781645590687,1.621380549521973,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,131800,145414,859.3388489247741,91415.6087685405,33.255157828330994,-22448,63440,-955504,-2625000,-2056250,0,0,780000,2340000,-3751,3363,-3550
1781645591174,1.5399881532576956,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,132300,145914,857.9769505993208,91430.66823613226,33.26840036502108,-29280,80032,-944768,52500,647500,1330000,0,780000,2340000,-3730,3345,-3518
1781645591684,-0.06611772487440248,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,132900,146415,859.5957209440489,91412.768579015,33.28164285980165,-16592,63440,-937936,-2178750,201250,-1785000,780000,780000,1560000,-3729,3381,-3537
1781645592199,0.22507043092673484,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,133500,146915,858.8161751006452,91421.38810320036,33.303713591303676,-28304,72224,-963312,-393750,-2056250,918750,0,780000,2340000,-3740,3351,-3569
1781645592686,1.2272114739812423,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,133900,147415,858.7347913989531,91422.28800966729,33.30812772363424,-10736,83936,-948672,1837500,-2056250,-892500,0,780000,1560000,-3740,3354,-3491
